BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,
project_LiJin.nlogo,,,,,,,,,,
experiment-total_num,,,,,,,,,,
04/12/2020 16:24:09:376 +0200,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,
-16,16,-16,16,,,,,,,
[run number],percentage_stronger,prob_weaker_win,prob_stronger_win,total_number,[step],count turtles with [ color = green],,,,
3,0.5,0.2,0.8,200,200,52,,,,
1,0.5,0.2,0.8,200,200,51,,,,percentage of A win
2,0.5,0.2,0.8,200,200,51,,,total_num=200,0.508
4,0.5,0.2,0.8,200,200,51,,,total_num=500,0.516
6,0.5,0.2,0.8,200,200,51,,,total_num=1000,0.5348
7,0.5,0.2,0.8,200,200,51,,,,
5,0.5,0.2,0.8,200,200,51,,,,
8,0.5,0.2,0.8,200,200,50,,,,
10,0.5,0.2,0.8,200,200,50,,,,
9,0.5,0.2,0.8,200,200,50,,,,
11,0.5,0.2,0.8,500,200,128,,,,
12,0.5,0.2,0.8,500,200,129,,,,
13,0.5,0.2,0.8,500,200,132,,,,
14,0.5,0.2,0.8,500,200,125,,,,
15,0.5,0.2,0.8,500,200,130,,,,
16,0.5,0.2,0.8,500,200,131,,,,
17,0.5,0.2,0.8,500,200,129,,,,
19,0.5,0.2,0.8,500,200,127,,,,
18,0.5,0.2,0.8,500,200,130,,,,
20,0.5,0.2,0.8,500,200,129,,,,
21,0.5,0.2,0.8,1000,200,268,,,,
22,0.5,0.2,0.8,1000,200,260,,,,
24,0.5,0.2,0.8,1000,200,267,,,,
23,0.5,0.2,0.8,1000,200,267,,,,
25,0.5,0.2,0.8,1000,200,263,,,,
26,0.5,0.2,0.8,1000,200,265,,,,
27,0.5,0.2,0.8,1000,200,272,,,,
28,0.5,0.2,0.8,1000,200,271,,,,
29,0.5,0.2,0.8,1000,200,268,,,,
30,0.5,0.2,0.8,1000,200,273,,,,